Time Elapsed: 13685.97s, Average test loss: 0.0004, Test accuracy: 1153/1446 (79%)
Time Elapsed: 13825.53s, Average test loss: 0.0004, Test accuracy: 1160/1446 (80%)
Time Elapsed: 13970.54s, Average test loss: 0.0004, Test accuracy: 1165/1446 (80%)
Time Elapsed: 14109.13s, Average test loss: 0.0004, Test accuracy: 1170/1446 (80%)
Time Elapsed: 14254.88s, Average test loss: 0.0004, Test accuracy: 1167/1446 (80%)
Time Elapsed: 14392.39s, Average test loss: 0.0004, Test accuracy: 1162/1446 (80%)
Time Elapsed: 14545.16s, Average test loss: 0.0004, Test accuracy: 1167/1446 (80%)
Time Elapsed: 14684.23s, Average test loss: 0.0004, Test accuracy: 1173/1446 (81%)
Time Elapsed: 14832.17s, Average test loss: 0.0004, Test accuracy: 1166/1446 (80%)
Time Elapsed: 14978.93s, Average test loss: 0.0004, Test accuracy: 1163/1446 (80%)
Time Elapsed: 15118.87s, Average test loss: 0.0004, Test accuracy: 1167/1446 (80%)
Time Elapsed: 15265.04s, Average test loss: 0.0004, Test accuracy: 1172/1446 (81%)
Time Elapsed: 15410.62s, Average test loss: 0.0004, Test accuracy: 1172/1446 (81%)
Time Elapsed: 15551.19s, Average test loss: 0.0004, Test accuracy: 1170/1446 (80%)
Time Elapsed: 15697.13s, Average test loss: 0.0004, Test accuracy: 1170/1446 (80%)
Time Elapsed: 15841.53s, Average test loss: 0.0004, Test accuracy: 1169/1446 (80%)
Time Elapsed: 15979.56s, Average test loss: 0.0004, Test accuracy: 1183/1446 (81%)
Time Elapsed: 16123.26s, Average test loss: 0.0004, Test accuracy: 1177/1446 (81%)
Time Elapsed: 16269.39s, Average test loss: 0.0004, Test accuracy: 1178/1446 (81%)
Time Elapsed: 16406.04s, Average test loss: 0.0004, Test accuracy: 1177/1446 (81%)
Time Elapsed: 16558.01s, Average test loss: 0.0004, Test accuracy: 1158/1446 (80%)
Time Elapsed: 16707.04s, Average test loss: 0.0004, Test accuracy: 1195/1446 (82%)
Time Elapsed: 16851.65s, Average test loss: 0.0004, Test accuracy: 1176/1446 (81%)
Time Elapsed: 16988.93s, Average test loss: 0.0004, Test accuracy: 1169/1446 (80%)
Time Elapsed: 17133.16s, Average test loss: 0.0004, Test accuracy: 1158/1446 (80%)
Time Elapsed: 17279.59s, Average test loss: 0.0004, Test accuracy: 1175/1446 (81%)
Time Elapsed: 17417.03s, Average test loss: 0.0004, Test accuracy: 1170/1446 (80%)
Time Elapsed: 17570.17s, Average test loss: 0.0004, Test accuracy: 1173/1446 (81%)
Time Elapsed: 17718.38s, Average test loss: 0.0004, Test accuracy: 1194/1446 (82%)
Time Elapsed: 17858.08s, Average test loss: 0.0004, Test accuracy: 1162/1446 (80%)
Time Elapsed: 18005.75s, Average test loss: 0.0004, Test accuracy: 1185/1446 (81%)
Time Elapsed: 18150.07s, Average test loss: 0.0004, Test accuracy: 1191/1446 (82%)
Time Elapsed: 18296.54s, Average test loss: 0.0004, Test accuracy: 1183/1446 (81%)
Time Elapsed: 18433.78s, Average test loss: 0.0004, Test accuracy: 1193/1446 (82%)
Time Elapsed: 18578.17s, Average test loss: 0.0004, Test accuracy: 1179/1446 (81%)
Time Elapsed: 18723.77s, Average test loss: 0.0004, Test accuracy: 1200/1446 (82%)
Time Elapsed: 18873.75s, Average test loss: 0.0004, Test accuracy: 1196/1446 (82%)
Time Elapsed: 19017.80s, Average test loss: 0.0004, Test accuracy: 1191/1446 (82%)
Time Elapsed: 19155.63s, Average test loss: 0.0004, Test accuracy: 1209/1446 (83%)
Time Elapsed: 19307.98s, Average test loss: 0.0004, Test accuracy: 1192/1446 (82%)
Time Elapsed: 19452.92s, Average test loss: 0.0004, Test accuracy: 1209/1446 (83%)
Time Elapsed: 19592.84s, Average test loss: 0.0004, Test accuracy: 1200/1446 (82%)
Time Elapsed: 19738.01s, Average test loss: 0.0004, Test accuracy: 1197/1446 (82%)
Time Elapsed: 19882.98s, Average test loss: 0.0004, Test accuracy: 1201/1446 (83%)
Time Elapsed: 20020.84s, Average test loss: 0.0004, Test accuracy: 1202/1446 (83%)
Time Elapsed: 20172.47s, Average test loss: 0.0003, Test accuracy: 1198/1446 (82%)
Time Elapsed: 20312.62s, Average test loss: 0.0003, Test accuracy: 1197/1446 (82%)
Time Elapsed: 20457.78s, Average test loss: 0.0003, Test accuracy: 1209/1446 (83%)
Time Elapsed: 20597.01s, Average test loss: 0.0003, Test accuracy: 1202/1446 (83%)
Time Elapsed: 20745.01s, Average test loss: 0.0003, Test accuracy: 1204/1446 (83%)
Time Elapsed: 20884.50s, Average test loss: 0.0003, Test accuracy: 1203/1446 (83%)
Time Elapsed: 21031.40s, Average test loss: 0.0003, Test accuracy: 1206/1446 (83%)
Time Elapsed: 21171.13s, Average test loss: 0.0003, Test accuracy: 1207/1446 (83%)
Time Elapsed: 21320.51s, Average test loss: 0.0003, Test accuracy: 1208/1446 (83%)
Time Elapsed: 21461.20s, Average test loss: 0.0003, Test accuracy: 1200/1446 (82%)
Time Elapsed: 21608.18s, Average test loss: 0.0003, Test accuracy: 1206/1446 (83%)
